Company,Ticker,Year,ESG_Score_Letter,ESG_Score_Numeric,Env_Pillar_Letter,Env_Pillar_Numeric,Social_Pillar_Letter,Social_Pillar_Numeric,Gov_Pillar_Letter,Gov_Pillar_Numeric,ROE_PBT,ROCE_PBT,ROA_PBT,ROE_NI,ROCE_NI,ROA_NI,Profit_Margin,Gross_Margin,EBITDA_Margin,EBIT_Margin,CF_Revenue,EV_EBITDA,MCap_CFO,Net_Assets_Turnover,ESG_Group
ASOS plc,ASC,2021,B-,7,B-,7,C,5,A-,10,17.13,10.09,6.14,12.42,7.51,4.45,4.53,48.89,8.37,4.9,6.75,12.25,18.03,2.07,Low
ASOS plc,ASC,2022,B-,7,B-,7,C+,6,B+,9,-3.14,-0.46,-1.06,-3.04,-0.4,-1.03,-0.81,47.92,3.36,-0.93,3.51,9.28,,2.01,Low
ASOS plc,ASC,2023,B-,7,C+,6,C+,6,A,11,-34.23,-12.75,-11.3,-25.74,-8.89,-8.5,-8.35,46.85,-1.29,-7.0,-0.57,,32.7,1.86,Low
ASOS plc,ASC,2024,B,8,C+,6,B-,7,A-,10,-72.76,-20.54,-16.7,-64.97,-17.94,-14.91,-13.04,49.92,-1.47,-11.34,-1.78,,1.9,1.87,Low
Currys plc,CURY,2021,B-,7,B+,9,C+,6,B,8,1.68,3.76,0.58,0.5,3.1,0.17,0.39,21.22,6.46,2.24,4.34,4.16,1.93,2.43,Low
Currys plc,CURY,2022,B+,9,B+,9,B-,7,B+,9,5.04,5.32,1.82,2.84,4.01,1.03,1.24,21.6,6.81,2.84,4.67,3.3,2.47,2.41,High
Currys plc,CURY,2023,A-,10,B+,9,A-,10,A,11,-23.78,-10.11,-7.69,-25.42,-11.01,-8.22,-4.73,26.49,5.64,-3.07,3.65,3.69,2.39,2.75,High
Currys plc,CURY,2024,A-,10,B,8,A-,10,A,11,1.45,3.97,0.57,7.96,8.21,3.11,0.33,27.17,5.53,1.94,5.41,3.21,1.92,2.85,High
Dunelm Group plc,DNLM,2021,B+,9,B+,9,B,8,B+,9,56.12,30.92,20.58,45.84,25.47,16.81,11.81,57.43,18.5,12.63,15.52,12.3,15.61,2.52,High
Dunelm Group plc,DNLM,2022,B,8,A-,10,B,8,B,8,119.35,47.39,28.84,96.02,38.39,23.2,13.46,56.18,18.78,13.79,15.82,5.71,6.65,3.42,Low
Dunelm Group plc,DNLM,2023,B,8,A-,10,B-,7,B,8,140.15,46.93,27.66,110.47,37.38,21.8,11.76,54.92,16.98,12.15,14.1,8.23,9.4,3.84,Low
Dunelm Group plc,DNLM,2024,B,8,B+,9,B-,7,B+,9,148.95,51.45,30.12,109.65,38.5,22.17,12.04,56.54,17.3,12.53,13.64,7.47,9.26,4.08,Low
Greggs plc,GRG,2021,A-,10,B+,9,A-,10,B+,9,-4.26,-1.09,-1.88,-4.04,-0.97,-1.78,-1.69,78.6,14.83,-0.8,14.03,16.81,53.32,1.39,High
Greggs plc,GRG,2022,A-,10,B+,9,B+,9,A-,10,33.25,21.33,15.22,26.97,17.5,12.35,9.8,69.74,17.99,10.27,15.67,9.03,9.53,2.07,High
Greggs plc,GRG,2023,B+,9,B,8,B+,9,A-,10,35.47,23.17,16.67,26.84,17.83,12.61,10.29,68.22,17.66,10.62,14.83,8.45,8.56,2.14,High
Greggs plc,GRG,2024,B+,9,B+,9,B+,9,A-,10,35.74,21.58,15.45,26.89,16.57,11.62,10.05,69.15,16.89,9.74,14.71,9.16,9.16,2.01,High
Halfords Group plc,HFD,2021,B,8,C+,6,C+,6,A,11,15.44,11.08,6.03,12.73,9.51,4.97,4.99,59.96,15.46,6.29,13.29,5.1,2.73,1.8,Low
Halfords Group plc,HFD,2022,B,8,B+,9,B-,7,A-,10,17.53,12.28,7.56,14.1,10.13,6.08,6.99,59.85,15.58,7.94,13.27,4.24,4.71,1.57,Low
Halfords Group plc,HFD,2023,B,8,B+,9,C+,6,B+,9,6.5,5.5,2.69,5.05,4.57,2.09,2.27,56.39,10.83,3.14,9.46,4.24,2.47,1.81,Low
Halfords Group plc,HFD,2024,B,8,B+,9,C+,6,A-,10,3.59,4.04,1.56,3.05,3.68,1.32,1.16,55.86,9.65,1.97,8.66,4.04,2.1,2.1,Low
J Sainsbury plc,SBRY,2021,A-,10,A,11,B+,9,B+,9,-2.45,1.4,-0.65,-3.0,1.12,-0.8,-0.56,11.8,7.01,1.6,4.71,5.1,2.18,2.16,High
J Sainsbury plc,SBRY,2022,A-,10,A+,12,B+,9,A-,10,10.14,6.9,3.17,8.04,5.86,2.52,2.84,12.67,7.87,3.79,6.33,5.13,5.75,1.77,High
J Sainsbury plc,SBRY,2023,A-,10,A,11,B+,9,A-,10,4.51,4.37,1.25,2.85,3.55,0.79,1.04,11.65,6.75,1.92,5.48,5.42,2.84,2.17,High
J Sainsbury plc,SBRY,2024,B+,9,A-,10,B,8,A-,10,4.03,4.5,1.11,2.0,3.48,0.55,0.85,12.28,5.9,1.64,4.67,5.41,2.8,2.41,High
JD Sports Fashion plc,JD.,2021,C+,6,B,8,C+,6,C,5,21.65,10.72,6.28,14.99,7.95,4.35,5.23,57.98,16.25,6.53,13.34,8.35,6.84,1.72,Low
JD Sports Fashion plc,JD.,2022,C+,6,B,8,C,5,C+,6,27.98,13.95,9.26,15.8,8.45,5.23,7.62,56.24,15.51,8.57,11.24,8.17,7.69,1.66,Low
JD Sports Fashion plc,JD.,2023,C,5,B-,7,C,5,D+,3,18.5,14.15,6.0,7.16,8.96,2.32,4.79,55.85,15.55,8.05,9.35,5.94,7.8,1.76,Low
JD Sports Fashion plc,JD.,2024,C,5,B-,7,C,5,C,5,28.27,14.99,10.08,18.79,10.49,6.7,7.67,54.89,15.53,8.67,11.96,4.45,5.14,1.75,Low
Kingfisher plc,KGF,2021,B+,9,A-,10,B+,9,B+,9,11.51,10.3,6.16,9.01,8.5,4.83,6.11,41.49,11.7,7.43,9.06,5.0,3.55,1.36,High
Kingfisher plc,KGF,2022,B,8,A-,10,B+,9,B-,7,14.86,12.51,8.15,12.44,10.73,6.83,7.62,41.53,12.64,8.67,10.35,5.04,5.81,1.43,Low
Kingfisher plc,KGF,2023,A-,10,A-,10,A-,10,A-,10,9.17,8.04,5.05,7.07,6.52,3.89,4.67,42.48,11.16,5.53,9.23,5.27,6.6,1.42,High
Kingfisher plc,KGF,2024,A-,10,A-,10,A-,10,A-,10,7.19,6.73,3.99,5.22,5.29,2.9,3.65,42.51,10.06,4.46,8.25,4.78,3.13,1.44,High
Marks and Spencer Group plc,MKS,2021,A,11,A-,10,A,11,A-,10,-9.16,0.42,-2.42,-8.66,0.6,-2.29,-2.28,31.89,9.53,-0.3,7.67,7.3,3.42,1.45,High
Marks and Spencer Group plc,MKS,2022,B+,9,B,8,A-,10,B-,7,13.42,8.57,4.15,10.51,7.37,3.25,3.57,34.97,10.43,5.09,8.14,4.97,2.25,1.55,High
